iter	F1	Logloss
0	0.6930234848	0.6285404646
1	0.6930878299	0.5720807664
2	0.6933110203	0.5182021757
3	0.6933110203	0.4725800868
4	0.6933110203	0.4312531385
5	0.6949169207	0.3977321315
6	0.6951734985	0.3683905724
7	0.6955880908	0.3401878605
8	0.6959084434	0.3170544864
9	0.6975033109	0.2955922875
10	0.6978226756	0.2797539061
11	0.6998629064	0.2643247897
12	0.7010369791	0.2500117689
13	0.7010611766	0.2393208651
14	0.7030510129	0.229274602
15	0.7036530572	0.2220587077
16	0.7058995612	0.2138096819
17	0.7065932459	0.2070553787
18	0.7066329015	0.2017544027
19	0.7071995327	0.1966138392
20	0.7084852905	0.1912610294
21	0.7091130012	0.1867162253
22	0.710175916	0.1828342245
23	0.7108931086	0.1790964161
24	0.7114217756	0.1760645808
25	0.7072151453	0.1740592617
26	0.7090963675	0.1712703752
27	0.7090836335	0.1689590452
28	0.7092327044	0.1667501216
29	0.7136879857	0.1649642149
30	0.711285298	0.1632199252
31	0.7104504778	0.162199323
32	0.7106803957	0.1606206074
33	0.7104407881	0.1592544895
34	0.7112058033	0.1581581707
35	0.7120259582	0.1570999292
36	0.7130320759	0.1560604096
37	0.7128612644	0.1551021212
38	0.7119573496	0.1545238252
39	0.7126740522	0.1539070901
40	0.713292392	0.1530777165
41	0.7143147208	0.152569928
42	0.7146623403	0.1518956592
43	0.7135135135	0.1514451156
44	0.7139648836	0.1509927212
45	0.7147738283	0.1504804665
46	0.7149994902	0.1499879418
47	0.715393247	0.1496192123
48	0.7153701156	0.1490199525
49	0.7162292994	0.1487070657
50	0.7164179104	0.1482272081
51	0.7168159609	0.1477223247
52	0.7167600611	0.1474441117
53	0.7170734193	0.147155568
54	0.7173193461	0.1467770923
55	0.717603912	0.1465275394
56	0.7178207739	0.1462236106
57	0.7181262729	0.1459853656
58	0.7184248113	0.1457334849
59	0.7188583078	0.1453379369
60	0.7195513638	0.1450962209
61	0.7193679918	0.1448917483
62	0.7201750814	0.1445644209
63	0.7202686886	0.1443802726
64	0.720610687	0.1441344736
65	0.7208864942	0.1437257321
66	0.7211465162	0.1435035664
67	0.7216013005	0.1432218848
68	0.7220839892	0.143021013
69	0.7221855482	0.1428620932
70	0.7228756844	0.1425187534
71	0.7227963526	0.1422044885
72	0.7227401702	0.1420691841
73	0.7232296626	0.1418430023
74	0.7234365513	0.1415163344
75	0.7242024369	0.1412274606
76	0.7244237768	0.141085566
77	0.7245805539	0.140924537
78	0.7251526929	0.1406038444
79	0.7252625202	0.1404279427
80	0.7253279516	0.1400870551
81	0.7255851493	0.1399338412
82	0.7259983864	0.1397494416
83	0.7264479056	0.1396157452
84	0.7266404596	0.1393253089
85	0.7267412559	0.139189757
86	0.7277307537	0.1390213856
87	0.7277856135	0.1389144739
88	0.7277489548	0.1387883132
89	0.7282340501	0.1386191648
90	0.7283254456	0.1384614641
91	0.7285174931	0.1383021665
92	0.7288647343	0.1381318234
93	0.7288553459	0.1379288924
94	0.7290377748	0.137826875
95	0.7293573368	0.1376597994
96	0.7294756423	0.1374736752
97	0.7298587727	0.1373537498
98	0.7296930728	0.1372384843
99	0.7302320908	0.1370824619
100	0.7303596544	0.1369447858
101	0.7302496108	0.1367742584
102	0.7305317066	0.1366347428
103	0.731168766	0.1365300655
104	0.7312151784	0.1363777071
105	0.7314234108	0.136251117
106	0.7320425361	0.13611228
107	0.7321867322	0.1358962085
108	0.7323675372	0.1357455842
109	0.7324310777	0.1356605824
110	0.7325412343	0.1355533228
111	0.7328320802	0.1354386528
112	0.73290245	0.1353086463
113	0.7332297981	0.1350666178
114	0.7333968222	0.1349592966
115	0.7335338346	0.1348187476
116	0.7338309704	0.1346697945
117	0.7344853494	0.1345288406
118	0.7348226808	0.1344119171
119	0.7350025038	0.1343031049
120	0.7350393109	0.1342028918
121	0.7350025038	0.1340733172
122	0.7351659907	0.1340002923
123	0.7351394662	0.1338804704
124	0.7354929154	0.1337727902
125	0.7358991041	0.1336928961
126	0.736168084	0.1336144823
127	0.7362576902	0.1335251973
128	0.7366578302	0.1334223244
129	0.7367105066	0.1333434658
130	0.7369368468	0.1331752468
131	0.737205118	0.1330217674
132	0.737205118	0.1329552046
133	0.7374469148	0.1328539029
134	0.7379048381	0.1327370334
135	0.7380202868	0.1326520062
136	0.7381202219	0.1325640178
137	0.7383985214	0.1324500386
138	0.7389979519	0.1322636218
139	0.7391347787	0.1321737014
140	0.7394756554	0.1320807182
141	0.7395125849	0.1319558213
142	0.7398791993	0.1317646731
143	0.7398353704	0.131674687
144	0.7403083371	0.1314686751
145	0.7406557213	0.1313059636
146	0.7410549429	0.1311679019
147	0.741132452	0.1310946964
148	0.7414833658	0.1310176137
149	0.7414979555	0.1309201897
150	0.7414351967	0.130857886
151	0.7415349324	0.1307343684
152	0.7415237335	0.1306508407
153	0.7418083886	0.130540043
154	0.7418083886	0.1304454769
155	0.7423955321	0.1303110433
156	0.742760305	0.1302498491
157	0.7427859457	0.1301850319
158	0.7430479418	0.1301111652
159	0.7431361802	0.1300196555
160	0.7435974091	0.1299159308
161	0.7437596532	0.1298350468
162	0.7440701615	0.1297133907
163	0.7443204464	0.1296521206
164	0.7444710102	0.1295925847
165	0.7445960753	0.1294986264
166	0.7445939213	0.1293890105
167	0.7446193703	0.1293090097
168	0.7448928749	0.1292306762
169	0.7453793653	0.1291556521
170	0.7454790016	0.1290841262
171	0.7454300941	0.1289917086
172	0.74563939	0.1288755077
173	0.745764401	0.1287840671
174	0.7457779106	0.1286835565
175	0.7458150658	0.1286232776
176	0.7460886896	0.1285649929
177	0.7463623679	0.1285008154
178	0.7462865118	0.1284117715
179	0.7463237127	0.1283523208
180	0.7468102073	0.1282879455
181	0.7470468026	0.128226403
182	0.7475331406	0.1280904636
183	0.7474586406	0.1280193486
184	0.7475834579	0.1279811287
185	0.7477948871	0.127889016
186	0.74818064	0.1278105004
187	0.7482179353	0.1277546861
188	0.7483305093	0.1276790586
189	0.7485554891	0.1275957425
190	0.7484057393	0.1274992814
191	0.7486924035	0.1274432447
192	0.7487424673	0.1273794287
193	0.7487797589	0.1273083658
194	0.7488793705	0.1272406315
195	0.7486801474	0.1271873477
196	0.7493398436	0.127103088
197	0.7495141761	0.1270288296
198	0.7496387823	0.1269597632
199	0.7498879203	0.1269040261
200	0.7501245392	0.1268284316
201	0.7501120685	0.1267722804
202	0.7505353852	0.1266939723
203	0.750697489	0.126641566
204	0.750622696	0.1266043537
205	0.7508345374	0.126499781
206	0.7505481363	0.1264467248
207	0.7506600907	0.1264077711
208	0.7507100503	0.1263515012
209	0.7508097065	0.1263119648
210	0.7510090189	0.1262553556
211	0.7510342421	0.1261617654
212	0.7510464421	0.1260984853
213	0.7513955343	0.1260443545
214	0.7518564665	0.1259863161
215	0.7518564665	0.1259245763
216	0.7520677628	0.1258833255
217	0.7523045493	0.1258354457
218	0.7522798625	0.1257649366
219	0.7523411038	0.125628829
220	0.7523283032	0.1255713785
221	0.752676393	0.1255328668
222	0.7528755664	0.1254557102
223	0.7532105525	0.1253655608
224	0.7531730626	0.1252633184
225	0.7534355706	0.1251310231
226	0.7533114232	0.1249828942
227	0.7537473233	0.1249034655
228	0.7539220081	0.1248264218
229	0.7542060727	0.1247333824
230	0.7542811629	0.1246208887
231	0.7543300816	0.1245759929
232	0.7543920768	0.1245135133
233	0.7545422868	0.1244323646
234	0.7549780964	0.124360898
235	0.7551020408	0.1243079231
236	0.7552280422	0.1242220637
237	0.7553519865	0.1241660925
238	0.7555002489	0.1241047926
239	0.7555511301	0.1240366845
240	0.7556263692	0.123999312
241	0.7557635811	0.1239454565
242	0.7557369705	0.1238904589
243	0.7558608332	0.1238133742
244	0.7560465811	0.1237449466
245	0.7563694268	0.1236574534
246	0.7565658575	0.1235887435
247	0.7566169154	0.1235149156
248	0.7567406228	0.1234866753
249	0.7566142829	0.1234087541
250	0.7567029797	0.1233368061
251	0.7566545599	0.1232891346
252	0.7566277046	0.1232463034
253	0.7568373943	0.1231704567
254	0.7571840509	0.1230656824
255	0.7573935086	0.1229998735
256	0.7577911427	0.1229077346
257	0.7576435496	0.1228741871
258	0.7575200119	0.1228053622
259	0.7574099861	0.1227708175
260	0.7577053092	0.1227243545
261	0.7577565632	0.1226534804
262	0.7579041559	0.122595656
263	0.758353222	0.1225087126
264	0.7585521082	0.1224196816
265	0.7586001193	0.122371886
266	0.7586481113	0.1223130194
267	0.7589361173	0.1222502259
268	0.759121185	0.1221416105
269	0.7591966594	0.1220984588
270	0.7593439364	0.122051312
271	0.7592859629	0.1219854691
272	0.7592344022	0.1219350869
273	0.7595188389	0.1218771502
274	0.7597176658	0.1218145458
275	0.7599264523	0.1217494934
276	0.7602007852	0.1216883976
277	0.7603519411	0.1216417641
278	0.7606361829	0.1215767189
279	0.7610716238	0.121485682
280	0.7614505713	0.1214401404
281	0.7615262321	0.1213978397
282	0.7617864772	0.1213604954
283	0.7617864772	0.1213291717
284	0.7620230525	0.1212771645
285	0.7617061423	0.1212113199
286	0.7620797537	0.1211599153
287	0.7622690244	0.1210928847
288	0.7626428217	0.1210403378
289	0.7626664017	0.1210046094
290	0.7627514279	0.120945796
291	0.7629644347	0.1208962959
292	0.7630258779	0.1208654212
293	0.7633330023	0.1208087929
294	0.763432317	0.1207639769
295	0.7635316317	0.1207074738
296	0.7634937187	0.1206796889
297	0.76340882	0.1205932673
298	0.7635984303	0.12055229
299	0.7637591894	0.1204880228
300	0.7638205931	0.1204515576
301	0.7638061184	0.1204192524
302	0.7639433822	0.1203730441
303	0.7641040922	0.1203257553
304	0.7640427117	0.1202977754
305	0.7641420412	0.1202572406
306	0.764255911	0.1202069399
307	0.7644691738	0.1201520327
308	0.7646591135	0.1200541813
309	0.7648491476	0.1200029288
310	0.7646883388	0.1199487405
311	0.7646883388	0.119919834
312	0.7648111332	0.1198543854
313	0.7648345095	0.1197911113
314	0.7649105368	0.119749996
315	0.7649251877	0.1196835844
316	0.7653167702	0.1196325699
317	0.765600159	0.1195687386
318	0.7659130435	0.1195158506
319	0.7660737355	0.1194822079
320	0.7660356735	0.1194501414
321	0.7660969793	0.1194055851
322	0.7660208644	0.1193470644
323	0.7662195728	0.1193045813
324	0.7664878824	0.1192639389
325	0.7666418466	0.1192193213
326	0.766840407	0.1191663693
327	0.7669546222	0.1191447432
