iter	Passed	Remaining
0	109	54566
1	162	40379
2	216	35811
3	272	33827
4	336	33286
5	401	33040
6	458	32282
7	513	31589
8	574	31321
9	637	31248
10	700	31146
11	769	31302
12	828	31039
13	893	31004
14	950	30740
15	1007	30466
16	1071	30448
17	1128	30207
18	1183	29950
19	1237	29692
20	1295	29544
21	1352	29376
22	1408	29213
23	1462	29013
24	1523	28947
25	1578	28768
26	1634	28628
27	1689	28479
28	1756	28520
29	1814	28434
30	1878	28415
31	1934	28288
32	2006	28399
33	2103	28835
34	2162	28736
35	2218	28590
36	2284	28593
37	2343	28488
38	2395	28310
39	2448	28155
40	2516	28177
41	2570	28032
42	2630	27952
43	2683	27813
44	2736	27672
45	2794	27579
46	2849	27466
47	2901	27321
48	2957	27216
49	3008	27073
50	3064	26981
51	3124	26914
52	3177	26800
53	3228	26668
54	3300	26703
55	3356	26609
56	3411	26513
57	3463	26397
58	3516	26283
59	3574	26211
60	3625	26092
61	3678	25986
62	3742	25960
63	3804	25920
64	3857	25814
65	3920	25783
66	3973	25680
67	4025	25572
68	4080	25486
69	4132	25382
70	4197	25360
71	4261	25330
72	4316	25248
73	4370	25158
74	4433	25122
75	4492	25060
76	4545	24969
77	4597	24875
78	4654	24802
79	4706	24710
80	4771	24683
81	4822	24584
82	4880	24520
83	4930	24417
84	4988	24357
85	5039	24260
86	5097	24197
87	5150	24114
88	5204	24034
89	5257	23951
90	5314	23887
91	5374	23833
92	5432	23775
93	5502	23767
94	5557	23690
95	5609	23607
96	5669	23556
97	5720	23465
98	5777	23403
99	5846	23387
100	5905	23330
101	5960	23256
102	6018	23199
103	6071	23118
104	6132	23068
105	6190	23009
106	6245	22938
107	6310	22905
108	6365	22833
109	6419	22760
110	6472	22681
111	6521	22593
112	6572	22510
113	6639	22481
114	6694	22413
115	6751	22350
116	6807	22283
117	6860	22208
118	6919	22154
119	6970	22071
120	7021	21994
121	7085	21952
122	7136	21874
123	7190	21804
124	7246	21740
125	7304	21682
126	7364	21630
127	7425	21578
128	7480	21513
129	7534	21442
130	7601	21412
131	7664	21368
132	7717	21296
133	7770	21222
134	7828	21165
135	7882	21096
136	7937	21030
137	8000	20985
138	8079	20984
139	8134	20918
140	8188	20849
141	8242	20781
142	8304	20732
143	8369	20691
144	8436	20654
145	8497	20604
146	8559	20554
147	8612	20482
148	8667	20417
149	8728	20366
150	8783	20299
151	8845	20252
152	8897	20179
153	8961	20133
154	9019	20076
155	9078	20019
156	9130	19948
157	9183	19877
158	9234	19804
159	9290	19741
160	9349	19685
161	9400	19614
162	9457	19553
163	9506	19476
164	9558	19405
165	9616	19348
166	9674	19291
167	9726	19220
168	9782	19159
169	9837	19095
170	9893	19034
171	9948	18972
172	10005	18911
173	10056	18841
174	10116	18787
175	10166	18715
176	10218	18647
177	10274	18587
178	10342	18547
179	10396	18482
180	10451	18419
181	10503	18352
182	10562	18296
183	10616	18232
184	10674	18175
185	10738	18128
186	10795	18069
187	10857	18019
188	10916	17963
189	10973	17903
190	11033	17849
191	11084	17781
192	11138	17717
193	11189	17649
194	11240	17580
195	11291	17513
196	11356	17467
197	11408	17401
198	11460	17335
199	11511	17267
200	11567	17207
201	11618	17140
202	11678	17086
203	11734	17026
204	11786	16960
205	11849	16911
206	11906	16852
207	11956	16785
208	12009	16721
209	12063	16659
210	12116	16596
211	12174	16539
212	12228	16476
213	12282	16415
214	12335	16351
215	12394	16296
216	12447	16233
217	12498	16167
218	12550	16103
219	12612	16051
220	12668	15992
221	12720	15929
222	12773	15866
223	12826	15804
224	12889	15753
225	12951	15702
226	13016	15654
227	13075	15598
228	13138	15548
229	13193	15488
230	13256	15436
231	13306	15371
232	13367	15318
233	13423	15259
234	13477	15198
235	13533	15138
236	13590	15081
237	13641	15017
238	13696	14957
239	13754	14900
240	13805	14836
241	13856	14772
242	13913	14715
243	13969	14656
244	14023	14596
245	14081	14539
246	14138	14481
247	14196	14425
248	14246	14361
249	14306	14306
250	14365	14250
251	14418	14189
252	14474	14131
253	14533	14075
254	14596	14024
255	14655	13968
256	14721	13919
257	14772	13855
258	14824	13794
259	14875	13731
260	14926	13668
261	14981	13609
262	15038	13551
263	15094	13493
264	15158	13442
265	15215	13385
266	15272	13328
267	15327	13268
268	15398	13223
269	15452	13163
270	15503	13100
271	15555	13039
272	15618	12986
273	15679	12932
274	15733	12872
275	15794	12818
276	15859	12767
277	15914	12708
278	15980	12658
279	16048	12609
280	16106	12552
281	16161	12493
282	16215	12433
283	16266	12371
284	16324	12315
285	16392	12265
286	16448	12207
287	16501	12146
288	16559	12090
289	16612	12029
290	16665	11969
291	16720	11910
292	16768	11846
293	16832	11794
294	16888	11736
295	16939	11674
296	16991	11613
297	17051	11558
298	17103	11497
299	17164	11443
300	17222	11386
301	17273	11324
302	17325	11264
303	17381	11206
304	17438	11148
305	17493	11090
306	17551	11034
307	17611	10978
308	17675	10925
309	17732	10868
310	17791	10811
